公司名稱,統編
一零四資訊科技股份有限公司,84598349
凌航科技股份有限公司,16561718
耀登科技股份有限公司,23573774
正達國際光電股份有限公司,97049373
鈺寶科技股份有限公司,16372688
景岳生物科技股份有限公司,12715847
大量科技股份有限公司,43938484
眾福科技股份有限公司,16274722
景碩科技股份有限公司,70785139
全科科技股份有限公司,86027892
晟鈦股份有限公司,22570840
緯創資通股份有限公司,12868358
虹冠電子工業股份有限公司,16130417
昇陽建設企業股份有限公司,84141187
勝德國際研發股份有限公司,12702977
昇貿科技股份有限公司,04789211
聯德電子股份有限公司,22749711
閎暉實業股份有限公司,12956063
弘憶國際股份有限公司,89613636
同泰電子科技股份有限公司,23983947
泰碩電子股份有限公司,89858152
麗清科技股份有限公司,16992625
奇偶科技股份有限公司,16302558
新日興股份有限公司,35424073
明泰科技股份有限公司,12800392
玉晶光電股份有限公司,23572557
京鼎精密科技股份有限公司,12858252
融程電訊股份有限公司,96930209
譁裕實業股份有限公司,47250470
台端興業股份有限公司,22928881
榮創能源科技股份有限公司,70634323
創意電子股份有限公司,16299879
展達通訊股份有限公司,16045290
聯鈞光電股份有限公司,12624467
晶睿通訊股份有限公司,70703897
群創光電股份有限公司,12800225
誠研科技股份有限公司,70801588
維熹科技股份有限公司,80272361
揚明光學股份有限公司,12800061
華擎科技股份有限公司,80333613
柏騰科技股份有限公司,89732154
安馳科技股份有限公司,12676056
晶相光電股份有限公司,27298412
台塑勝高科技股份有限公司,89406518
嘉澤端子工業股份有限公司,22244141
晶彩科技股份有限公司,70720798
州巧科技股份有限公司,70526133
敦泰電子股份有限公司,28069900
聯穎科技股份有限公司,22488639
嘉威生活股份有限公司,27717512
牧德科技股份有限公司,16522758
聯合再生能源股份有限公司,27763753
辛耘企業股份有限公司,30901647
通嘉科技股份有限公司,80254357
艾笛森光電股份有限公司,12907747
瑞鼎科技股份有限公司,80532726
力銘科技股份有限公司,80617029
智易科技股份有限公司,12800294
宏致電子股份有限公司,97257738
谷崧精密工業股份有限公司,23414349
碩天科技股份有限公司,97474067
洋華光電股份有限公司,80260061
達邁科技股份有限公司,70776899
精聯電子股份有限公司,28913512
健策精密工業股份有限公司,22415854
世芯電子股份有限公司,27554073
貿聯控股(BizLink Holding Inc.),
圓展科技股份有限公司,28428722
"TPK Holding Co., Ltd.",
新至陞科技股份有限公司,36011776
達能科技股份有限公司,28823511
海華科技股份有限公司,27667787
大眾全球投資控股股份有限公司,27242184
大聯大控股股份有限公司,27928328
欣陸投資控股股份有限公司,28993629
合勤投資控股股份有限公司,28999503
永信國際投資控股股份有限公司,53004906
